close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence,volatilidad_alta
183.79405212402344,183.80397397190293,181.40156892129536,182.58292017691045,42841800.0,1.0,0.04171291553478795,186.45818377027237,178.76060183356876,48.87127185120089,29.33114122168616,7.073243745933809,182.60939280192056,182.60939280192056,12.760000228881836,0.0,0
184.83642578125,185.0448906262594,182.58292413922769,183.00980597306068,46792900.0,2.0,0.13262811407736308,186.82349046088035,179.03159027991205,54.567469075472054,76.25423548216892,13.208569703091829,182.9275403703962,182.9275403703962,12.6899995803833,0.0,0
184.24078369140625,185.69017636593313,182.28510409693843,185.1838742981323,49128400.0,3.0,0.16312843813270206,186.81626077864357,179.36713079240135,51.19583913209666,66.90027085685225,21.476531292446392,183.09169578552246,183.09169578552246,12.4399995803833,0.0,0
184.56837463378906,185.382420570264,183.84368591687618,184.7073562390581,40444700.0,4.0,0.19802024933539997,186.8761970434799,179.63534538273538,52.85324053606063,85.51740365012006,21.476531292446374,183.25577121310764,183.25577121310764,12.699999809265137,0.0,0
182.29502868652344,182.92043833380222,179.61464536328148,180.83571426310817,65603000.0,1.0,0.10279203567284867,186.626728349507,179.69266557139144,42.49347356148685,-66.78522877487703,29.102445135534428,183.15969696044922,183.15969696044922,13.84000015258789,0.0,0
181.35191345214844,181.60009595806468,178.98922629636922,179.9521756311529,47317400.0,2.0,-0.017707959663596284,186.46041709629702,179.5302889140013,39.1962711587228,-95.88363916080343,33.48086315529753,182.99535300514916,182.99535300514916,14.789999961853027,0.0,0
187.2586669921875,187.76495384502815,184.47901992929332,184.73712427915873,78005800.0,3.0,0.21865204148437556,187.47055261201362,179.23070572945775,59.53769474119809,152.98419463208168,19.138339934174216,183.3506291707357,183.3506291707357,14.130000114440918,0.0,1
190.16738891601562,190.55455307634924,187.44731794521132,187.95360487861367,68741000.0,4.0,0.5553508892370473,189.33916955381358,178.41082105616238,65.42932634615653,205.89327491359722,32.0878961622254,183.87499530498798,183.87499530498798,13.300000190734863,0.0,1
192.4804229736328,193.90995662610305,190.86226819370356,190.90198587730438,60133900.0,0.0,0.9342162110029051,191.4695399562049,177.50979746357748,69.1272911871676,228.42285061732682,43.683968519361386,184.4896687098912,184.4896687098912,13.1899995803833,0.0,1
193.76107788085938,194.32694137960473,192.42090116695806,193.60225255736796,42355600.0,1.0,1.284013999712272,193.36373684905436,176.85178846019045,70.90958074656692,191.8798619672583,44.93305871141475,185.1077626546224,185.1077626546224,12.550000190734863,0.0,0
193.0860137939453,194.95235131957728,192.9271733347724,193.9993237123997,53631300.0,2.0,1.492357329166964,194.52437165736595,176.6884350442942,68.74544935564043,153.90536533753584,46.82403227332345,185.60640335083008,185.60640335083008,13.140000343322754,0.0,0
192.75839233398438,194.84313150183985,191.70610090276801,193.80076191791213,54822100.0,3.0,1.612453420834953,195.33275421561865,176.7214629546479,67.70799439809778,122.37754578930024,37.00494567040825,186.02710858513328,186.02710858513328,13.449999809265137,0.0,0
191.02113342285156,193.34411833566054,190.54462719280716,192.85769025735726,44594000.0,4.0,1.5750988479760792,195.63426501769436,176.97484380120756,62.53145754114957,88.56926835677102,28.281846694601015,186.30455440945096,186.30455440945096,13.260000228881836,0.0,0
190.3361358642578,190.80272021826386,188.20177223046258,190.614099077556,47145600.0,0.0,1.4832914648092697,195.77036764981182,177.26311816433292,60.640381391061624,55.74144150774984,12.796219015623514,186.51674290707237,186.51674290707237,13.600000381469727,0.0,0
186.6729736328125,190.40564874926815,186.10712531543376,189.55190020112778,55859400.0,1.0,1.1558510634217782,195.53164237272932,177.5174665139894,51.949184543025204,22.5527238194363,1.1289737229734942,186.52455444335936,186.52455444335936,13.3100004196167,0.0,0
183.05943298339844,185.7398164976455,183.00980859435379,185.6802399646441,55467800.0,2.0,0.6499390737160695,195.550836166588,177.37517549112687,45.3206990393434,-38.90022181938529,13.081948286110128,186.3595486595517,186.3595486595517,14.350000381469727,0.0,0
185.50155639648438,185.59089847447947,182.48366340616798,182.6524257138898,64885400.0,3.0,0.41432091103638413,195.53994420983588,177.64517084143364,49.798929824209864,-28.487592133875687,15.2446540550054,186.32054901123047,186.32054901123047,13.880000114440918,0.0,0
184.49888610839844,185.96812234304272,177.94686171013706,178.55242764739413,102518000.0,4.0,0.15855666246443434,195.34533786282668,178.23091183199756,48.124885242533395,-56.60998472493929,31.056680601986734,186.24134627632472,186.24134627632472,13.850000381469727,0.0,0
186.31558227539062,187.87417583998953,184.48896248395178,186.78216664518396,69668800.0,0.0,0.0829309858623617,195.0314851865306,179.19003886132097,51.19968638383842,3.6305018132716182,20.924913365312687,186.24443944295248,186.24443944295248,13.670000076293945,0.0,0
187.92381286621094,187.9337347140823,185.4122068995574,185.50154897397763,43490800.0,1.0,0.13492764148583092,195.1041989401883,179.48860654076876,53.71222938318235,19.19480209712224,20.613457226354015,186.31161437988283,186.31161437988283,13.0600004196167,0.0,0
188.0330047607422,189.66108145721643,187.23881768122482,189.2540584961332,53439000.0,2.0,0.1814902348277485,195.1440790464637,179.8726216981652,53.87901354888383,41.068453043448244,11.694584440572802,186.37782170222357,186.37782170222357,12.829999923706055,0.0,0
186.95094299316406,188.16205980044833,185.98799356738817,188.0131563419714,40962000.0,3.0,0.13894952455416387,195.15196141229904,180.07619105352126,51.95972486199211,16.552149817027516,16.47547324167814,186.39904841670284,186.39904841670284,12.789999961853027,0.0,0
